sentence1,sentence2,sentence3,sentence4,sentence5
"Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .","In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .","The Christian Science Monitor may use such information to help determine ways to improve our Site .","The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers ."
"We also allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site .","These companies may use non-personally identifiable information ( e.g. , click stream information , browser type , time and date , subject of advertisements clicked or scrolled over ) collected during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you .","These companies typically use cookies or third party web beacons to collect this information .","The Christian Science Monitor supplies some of its subscriptions and content , such as the Digital Edition and the Historic Archive 1901 - 1980 , through third parties .","Generally , we do not provide , sell or lease personally identifiable information to any third parties ."
"However , if you provide us with your postal address when subscribing to the print edition we may include that address in postal address lists that we sell or rent to third parties .","If you would like us to stop including your postal address in such lists , please send us a letter addressed to The Christian Science Monitor , P.O .","Also , to protect site visitors and the general welfare , the site will release personal information when necessary in order to comply with the law or regulatory authorities .","If you submit your email address to the Site in other ways , such as submitting a comment or question , we may contact you about receiving occasional offers from advertisers .","We do not provide users ' personally identifiable information to our advertising partners ."
"Advertisers will only receive your personally identifiable information if you provide it to them directly .","If you have any questions or concerns regarding what is done with your information on any part of CSMonitor.com , or would like such information deleted from our records ( with the exception of postal addresses ) please e-mail us .","We may employ third parties to perform Site-related services , including database management , maintenance services , analytics , marketing , data processing , and email and text message distribution .","These third parties have access to your information only to perform these tasks on our behalf .","If you visit the Site from another country , please be aware that information you provide to us or that we obtain as a result of your use of the Site may be processed in and transferred to the United States and will be subject to U.S. law ."
"U.S. privacy and data protection laws may not be equivalent to the laws in your country of residence .","`` Cookies '' are text files that are used to collect information about visits that helps us create an overall profile of how visitors use our Site and e-mail newsletters , and how often visits occur .","Cookies can not be used to collect personally identifiable information from any user 's computer - cookies can only be used in conjunction with visits within our Site and e-mail newsletters .","Most browsers are initially set to accept cookies .","If you prefer , you can set your browser to refuse cookies or to alert you when cookies are being sent ."
"However , it is possible that some portions of the Site will not function properly if you do so .","Finally , parents should be aware that if a child voluntarily discloses his or her name , e-mail address , etc . on various forums , or chat areas , such disclosure may result in unsolicited messages from other parties .","We encourage our users to be aware when they leave our site and to read the privacy statements and terms of service of each and every website that collects personally identifiable information .","You may also send a letter to :","We do , however , collect non-personally identifiable IP addresses and web site usage information when you visit Kos Media 's websites ! stuff"
"If you choose to provide your personal information by creating an account , purchasing a subscription , sending us an email , or filling out a contact form and submitting it through our website , you may receive emails from Kos Media , LLC related to Kos Media websites .","You can unsubscribe from our email list at any time .","If you participate in a joint action with a partnering organization you may receive email updates from the partner as well .","You may also receive cookies and web beacons from third party network advertisers .","They do not collect any personally identifiable information ."
"This privacy policy applies only to Kos Media , LLC and does n't apply to third parties .","For more info on how third parties collect and use this information , you can go here :","You can visit Google 's Ads Preference Manager to opt out of Google 's use of cookies .","You can also visit Network Advertising Initiatives opt-out page to opt out of other third parties ' use of cookies .","Our websites may contain links to other sites ."
"You can read their return policy here :","Subscriptions can be canceled at anytime and you can manage your subscription from the user profile page .","Simply put -- We would never sell your email address , nor share it with with anyone , or ever spam you -- ever , end of story .","We would also never ask you for your passwords , credit card , phone , etc .","Destructoid.com does , like other Internet advertisers , collect certain information which can not personally identify you ."
"( Specifically : Cookies ! ) This category of information is generally referred to as non-personally-identifiable information includes information like the server or internet service provider you use , type of browser used .","There are some cases where you , the Internet user , may voluntarily provide personal information in response to a particular ad ( a survey or purchase order form ) .","In such cases the third party advertising with Destructoid.com may collect this information on behalf of an advertiser .","These companies may use information ( not including your name , address , email address or telephone number ) about your visits to this and other Web sites in order to provide advertisements on our Web Site , other web sites and other forms of media about goods and services of interest to you .","( i ) Entities that are not affiliated with Associate , such as Gaikai ( collectively , Providers ) may provide certain products and/or services ( e.g. , the Gaikai Service ) on behalf of Associate ; and"
"( ii ) Associate may disclose and/or share with Gaikai ( as a Provider ) certain data and other information regarding visitors ' usage of the Associate Site ( collective , Usage Data ) , and/or regarding the individuals who access and use the Gaikai Service and the Licensed Content by means of the Associate Sites , and may allow Gaikai ( as a Provider ) to collect and use certain Usage Data and other information regarding such individuals , their respective computer system configurations and performance characteristics , and their use of the Gaikai Service and the Licensed Content .","Such information may include information that is not personally identifiable ( e.g. , computer CPU , graphics card , stability of Internet connectivity , latency , etc . ) , and may also include personally identifiable information regarding such individuals ( e.g. , email addresses , etc . )","and/or information that some jurisdictions consider to be personally identifiable information , such as an IP address .","Remember that third parties are sometimes able to illegally intercept your unencrypted messages , including online greetings .","Anytime you visit a chat room or post a message to an on-line bulletin board , your e-mail address can be accessed by advertisers looking to compile lists for unsolicited commercial e-mail ( also known as spam ) ."
"Make sure you verify the identity of anyone asking for personal information .","THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION .","This Notice of Privacy Practices describes how we may use and disclose your protected health information to carry out treatment , payment or health care operations and for other purposes that are permitted or required by law .","Protected health information is information about you , including demographic information , that may identify you and that relates to your past , present or future physical or mental health or condition and related health care services .","We may change the terms of our notice at any time ."
"Your protected health information may be used and disclosed by your physician , our office staff and others outside of our office that are involved in your care and treatment for the purpose of providing health care services to you .","Your protected health information may also be used and disclosed to obtain payment for your health care bills and to support the operation of the physician 's practice .","These examples are not meant to be exhaustive , but to describe the types of uses and disclosures that may be made by our office .","This includes the coordination or management of your health care with a third party that may need access to your protected health information .","For example , we would disclose your protected health information , as necessary , to a home health agency that provides care to you ."
"We will also disclose protected health information to other physicians who may be treating you .","For example , your protected health information may be provided to a physician to whom you have been referred to ensure that the physician has the necessary information to diagnose or treat you .","In addition , we may disclose your protected health information from time-to-time to another physician or health care provider ( e.g. , a specialist or laboratory ) who , at the request of your physician , becomes involved in your care by providing assistance with your health care diagnosis or treatment to your physician .","Your protected health information will be used , as needed , to obtain payment for your health care services .","This may include certain activities that your health insurance plan may undertake before it approves or pays for the health care services we recommend for you such as : making a determination of eligibility or coverage for insurance benefits , reviewing services provided to you for medical necessity and undertaking utilization review activities ."
"For example , obtaining approval for a hospital stay may require that your relevant protected health information be disclosed to the health plan to obtain approval for the hospital admission .","We may use or disclose , as needed , your protected health information in order to support the business activities of your physician 's practice .","These activities include , but are not limited to , quality assessment activities , employee review activities , training of medical students , licensing , and conducting or arranging for other business activities .","For example , we may disclose your protected health information to medical school students that see patients at our office .","In addition , we may use a sign-in sheet at the registration desk where you will be asked to sign your name and indicate your physician ."
