RequesterAnnotation,Title,WorkerId,RequesterFeedback,CreationTime,AssignmentDurationInSeconds,AcceptTime,HITId,Reject,RejectionTime,Answer.words4,ApprovalTime,Description,Last30DaysApprovalRate,AutoApprovalTime,Input.sentence4,Input.sentence5,Input.sentence1,Input.sentence2,Input.sentence3,AssignmentStatus,Answer.words5,NumberOfSimilarHITs,AssignmentId,WorkTimeInSeconds,Input.docid1,HITTypeId,Input.docid3,Input.docid2,Input.docid5,Expiration,Reward,Approve,LifetimeInSeconds,Input.sentenceid2,Input.sentenceid5,Input.sentenceid4,Input.sentenceid3,AutoApprovalDelayInSeconds,MaxAssignments,Answer.score3,Answer.score2,Answer.score1,Answer.score5,Answer.score4,SubmitTime,Input.sentenceid1,Keywords,Answer.words1,Answer.words2,Answer.words3,Last7DaysApprovalRate,LifetimeApprovalRate,Input.docid4
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A4WILE40ZCD5Q,,Mon Apr 17 18:31:14 PDT 2017,432000,Wed Apr 19 11:51:15 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,,personally identifiable information,Wed Apr 19 13:00:57 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Wed Apr 26 11:52:20 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Approved,{},,3IXQG4FA2UJK51CJKZL39XI6S4F9BC,65,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,3,1,4,1,4,Wed Apr 19 11:52:20 PDT 2017,31632,"vague, ambiguous, privacy policy",third party,{},sensing technologies,0% (0/0),100% (6/6),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A2GD3CRFIEENJS,,Mon Apr 17 18:31:14 PDT 2017,432000,Fri Apr 21 15:39:14 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,,personally identifiable information,Tue Apr 25 10:59:28 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",100% (118/118),Fri Apr 28 15:42:12 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Approved,may,,3JNQLM5FT57LIQDWQ3VIDD6XYYH2LA,178,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,3,2,1,2,2,Fri Apr 21 15:42:12 PDT 2017,31632,"vague, ambiguous, privacy policy",{},may,"certain, may",100% (4/4),100% (786/786),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A2ON4H5KQPNQLD,,Mon Apr 17 18:31:14 PDT 2017,432000,Tue Apr 25 12:44:55 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,,information,Mon May 01 20:28:02 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Tue May 02 12:48:32 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Approved,{},,3OONKJ5DKD4NCOGPMO4L6NDVNHDOB9,217,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,5,3,1,1,2,Tue Apr 25 12:48:32 PDT 2017,31632,"vague, ambiguous, privacy policy",{},on such,certain of,0% (0/0),100% (3/3),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3I97794CB5SUO,,Mon Apr 17 18:31:14 PDT 2017,432000,Tue Apr 25 13:34:27 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,,{},Mon May 01 20:28:03 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Tue May 02 13:37:40 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Approved,We may,,3R0T90IZ1TXIUGRXC5N8CYABEGQGCP,193,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,3,1,1,2,1,Tue Apr 25 13:37:40 PDT 2017,31632,"vague, ambiguous, privacy policy",{},{},"of certain, we may",0% (0/0),100% (50/50),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,ARFAW0SGYEMFL,,Mon Apr 17 18:31:14 PDT 2017,432000,Sat Apr 29 06:12:52 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,,{},Mon May 01 20:28:11 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",3% (4/121),Sat May 06 06:19:43 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Approved,may,,3STRJBFXOXC4IJPROI3DZ0289S8TK7,411,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,1,2,1,1,1,Sat Apr 29 06:19:43 PDT 2017,31632,"vague, ambiguous, privacy policy",{},may,may,0% (0/0),76% (384/502),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3EZY4D228OOI1,Not vague terms,Mon Apr 17 18:31:14 PDT 2017,432000,Sat Apr 22 07:04:59 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,Tue Apr 25 10:59:38 PDT 2017,we,,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Sat Apr 29 07:06:43 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Rejected,"We, you, you",,3TK8OJTYM26K62QW6580WZCS07QVPQ,104,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,4,1,4,3,5,Sat Apr 22 07:06:43 PDT 2017,31632,"vague, ambiguous, privacy policy",third party's,Third party's,"our, we",0% (0/0),0% (0/2),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,AV9CONYE25CNY,Not vague terms,Mon Apr 17 18:31:14 PDT 2017,432000,Sat Apr 22 09:02:39 PDT 2017,38RHULDV9Y02HL53TIIALKYA5L0WI2,,Tue Apr 25 10:59:56 PDT 2017,"pixel tags, clear gifs",,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Sat Apr 29 09:04:05 PDT 2017,"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,"For more information , please view this third party 's privacy policy .",You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",Rejected,following receipt,,3WJEQKOXA9NXXM4WA86EZGGHCIP1AZ,86,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Tue May 02 10:59:38 PDT 2017,$0.05,,,31633,31640,31639,31637,604800,7,4,1,2,2,2,Sat Apr 22 09:04:05 PDT 2017,31632,"vague, ambiguous, privacy policy",third party's policy,opt-out,"sensing technologies, pixel tags, clear GIFS, web beacons",0% (0/0),0% (0/2),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A2MBEMZS3IYNPL,,Mon Apr 17 18:31:14 PDT 2017,432000,Tue Apr 18 12:26:24 PDT 2017,33NOQL7T9OKDMAYVVJQQ7ZYEJR08ZX,,,certain device or application functionality,Wed Apr 19 13:00:55 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Tue Apr 25 12:29:04 PDT 2017,"This information may be used to provide certain device or application functionality or to offer , provide and improve products and services .","We may collect personal information and other information about you from business partners , contractors and other third parties .","For example , we may receive and collect information concerning device registration , settings , usage , firmware version , signal strength , search queries , network interaction , the name of the network from which you access the Internet , the Internet Protocol ( IP ) address of the device you are using , unique device identifiers ( UDIDs ) , downloads , sideloaded content , configuration , or service information relating to any malfunction of the Device or App .","This may include information regarding your reading or , in the case of videos , viewing behavior on such Devices or Apps , such as books or videos opened , page turns , bookmarks , annotations , or customer reviews .","In addition , to provide location-based services on Devices or through Apps , Barnes & Noble and third party application providers may automatically collect real-time geographic location information or other location-based information about you and your Device or other mobile device on which the App is installed .",Approved,{},,352YTHGROWYTZ89T3WZ8E0AO1M9H41,160,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Mon May 08 20:27:55 PDT 2017,$0.05,,,31644,31649,31646,31645,604800,9,1,1,2,1,4,Tue Apr 18 12:29:04 PDT 2017,31643,"vague, ambiguous, privacy policy",sideloaded content,{},{},0% (0/0),100% (1/1),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,ASKZJKQWAPPQX,,Mon Apr 17 18:31:14 PDT 2017,432000,Thu Apr 27 12:52:07 PDT 2017,33NOQL7T9OKDMAYVVJQQ7ZYEJR08ZX,,,certain device or application,Mon May 01 20:28:12 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Thu May 04 12:53:10 PDT 2017,"This information may be used to provide certain device or application functionality or to offer , provide and improve products and services .","We may collect personal information and other information about you from business partners , contractors and other third parties .","For example , we may receive and collect information concerning device registration , settings , usage , firmware version , signal strength , search queries , network interaction , the name of the network from which you access the Internet , the Internet Protocol ( IP ) address of the device you are using , unique device identifiers ( UDIDs ) , downloads , sideloaded content , configuration , or service information relating to any malfunction of the Device or App .","This may include information regarding your reading or , in the case of videos , viewing behavior on such Devices or Apps , such as books or videos opened , page turns , bookmarks , annotations , or customer reviews .","In addition , to provide location-based services on Devices or through Apps , Barnes & Noble and third party application providers may automatically collect real-time geographic location information or other location-based information about you and your Device or other mobile device on which the App is installed .",Approved,personal information,,36U2A8VAG2K0Z5OLYOQC7HUNOQHKY6,63,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Mon May 08 20:27:55 PDT 2017,$0.05,,,31644,31649,31646,31645,604800,9,1,1,2,5,4,Thu Apr 27 12:53:10 PDT 2017,31643,"vague, ambiguous, privacy policy",any malfunction,{},{},0% (0/0),100% (3/3),298
BatchId:2770132;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A34S81U4V95MXJ,Those terms were not in the sentences,Mon Apr 17 18:31:14 PDT 2017,432000,Wed Apr 26 22:16:43 PDT 2017,33NOQL7T9OKDMAYVVJQQ7ZYEJR08ZX,,Mon May 01 20:28:02 PDT 2017,personal,,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Wed May 03 22:21:59 PDT 2017,"This information may be used to provide certain device or application functionality or to offer , provide and improve products and services .","We may collect personal information and other information about you from business partners , contractors and other third parties .","For example , we may receive and collect information concerning device registration , settings , usage , firmware version , signal strength , search queries , network interaction , the name of the network from which you access the Internet , the Internet Protocol ( IP ) address of the device you are using , unique device identifiers ( UDIDs ) , downloads , sideloaded content , configuration , or service information relating to any malfunction of the Device or App .","This may include information regarding your reading or , in the case of videos , viewing behavior on such Devices or Apps , such as books or videos opened , page turns , bookmarks , annotations , or customer reviews .","In addition , to provide location-based services on Devices or through Apps , Barnes & Noble and third party application providers may automatically collect real-time geographic location information or other location-based information about you and your Device or other mobile device on which the App is installed .",Rejected,personal,,3AMW0RGHOEN7YXHN4EM9MIIFEF7PN8,316,298,370L63GT3D60H5L6G0NFZL7USOZ18V,298,298,298,Mon May 08 20:27:55 PDT 2017,$0.05,,,31644,31649,31646,31645,604800,9,1,1,1,1,1,Wed Apr 26 22:21:59 PDT 2017,31643,"vague, ambiguous, privacy policy",generally or personal,generally,generally,0% (0/0),0% (0/2),298
