RequesterAnnotation,Title,WorkerId,RequesterFeedback,CreationTime,AssignmentDurationInSeconds,AcceptTime,HITId,Reject,RejectionTime,Answer.words4,ApprovalTime,Description,Last30DaysApprovalRate,AutoApprovalTime,Input.sentence4,Input.sentence5,Input.sentence1,Input.sentence2,Input.sentence3,AssignmentStatus,Answer.words5,NumberOfSimilarHITs,AssignmentId,WorkTimeInSeconds,Input.docid1,HITTypeId,Input.docid3,Input.docid2,Input.docid5,Expiration,Reward,Approve,LifetimeInSeconds,Input.sentenceid2,Input.sentenceid5,Input.sentenceid4,Input.sentenceid3,AutoApprovalDelayInSeconds,MaxAssignments,Answer.score3,Answer.score2,Answer.score1,Answer.score5,Answer.score4,SubmitTime,Input.sentenceid1,Keywords,Answer.words1,Answer.words2,Answer.words3,Last7DaysApprovalRate,LifetimeApprovalRate,Input.docid4
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3VRBYINUIXYWS,"Not vague terms. Missed some terms like ""certain""",Sat Apr 22 20:24:14 PDT 2017,432000,Mon Apr 24 21:16:25 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,Tue Apr 25 16:39:41 PDT 2017,{},,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Mon May 01 21:18:35 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Rejected,{},,30LB5CDZNDVYR5RMQHID24OGGF20ZG,130,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,1,2,1,1,Mon Apr 24 21:18:35 PDT 2017,40858,"vague, ambiguous, privacy policy",attempts,{},such,0% (0/0),0% (0/3),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3QJWVR7M9XA1P,,Sat Apr 22 20:24:14 PDT 2017,432000,Thu Apr 27 09:08:39 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,,publish,Mon May 01 20:54:35 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Thu May 04 09:09:42 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Approved,activities,,3B837J3LDPHPQNP7P27KQ7S02X2SRG,63,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,2,1,2,2,Thu Apr 27 09:09:42 PDT 2017,40858,"vague, ambiguous, privacy policy",(none),as applicable,ways,0% (0/0),96% (65/68),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3AJSLZ6N8FFSF,,Sat Apr 22 20:24:14 PDT 2017,432000,Wed Apr 26 16:34:33 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,,"non-personally, summary",Mon May 01 20:54:32 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Wed May 03 16:43:33 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Approved,"general, summaries, activities",,3BDCF01OGYFBJB63JO2DMH72DOSYLP,540,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,2,3,2,2,Wed Apr 26 16:43:33 PDT 2017,40858,"vague, ambiguous, privacy policy","may, attempts","may, billing purposes","may, such information",0% (0/0),100% (1/1),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A2G3MZ8430QBRN,Not vague terms,Sat Apr 22 20:24:14 PDT 2017,432000,Thu Apr 27 22:58:38 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,Mon May 01 20:54:28 PDT 2017,"summary, representative",,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Thu May 04 23:00:35 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Rejected,general summaries,,3DYGAII7PMTS1UUFK6EQQCDKJSDQPJ,117,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,1,2,4,3,Thu Apr 27 23:00:35 PDT 2017,40858,"vague, ambiguous, privacy policy",such attempts,{},such information,0% (0/0),40% (2/5),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A2GD3CRFIEENJS,,Sat Apr 22 20:24:14 PDT 2017,432000,Tue Apr 25 08:38:11 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,,non-personally identifiable,Tue Apr 25 16:39:27 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",100% (118/118),Tue May 02 08:39:25 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Approved,general,,3HHRAGRYX9Q4OV1SO4QPFHI5ZHN9OX,74,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,3,3,2,2,2,Tue Apr 25 08:39:25 PDT 2017,40858,"vague, ambiguous, privacy policy",may,"certain, may","may, information",100% (4/4),100% (786/786),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3I97794CB5SUO,,Sat Apr 22 20:24:14 PDT 2017,432000,Tue Apr 25 13:49:33 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,,{},Tue Apr 25 16:39:35 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Tue May 02 13:53:49 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Approved,{},,3OUYGIZWR8J4D1PG38KBB6M26JI0PO,256,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,2,2,1,1,Tue Apr 25 13:53:49 PDT 2017,40858,"vague, ambiguous, privacy policy",may be,"certain, may be",may use,0% (0/0),100% (50/50),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A13BHV358UV49G,,Sat Apr 22 20:24:14 PDT 2017,432000,Tue May 02 00:14:09 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,,"summary, promotional purposes, advertisers",Sun May 07 12:09:32 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Tue May 09 00:16:28 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Approved,"general, summaries",,3TR2532VIQF3518XAKV8NBAHB2ZJ64,139,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,2,2,2,2,3,Tue May 02 00:16:28 PDT 2017,40858,"vague, ambiguous, privacy policy","such, may be","certain, as applicable, may be","may, such",0% (0/0),100% (3/3),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A3SMZZXIZ6HFFS,"Your vague terms are very good, but you missed a lot of them. Most of the sentences have vague terms like ""may"", but you only entered them sometimes.",Sat Apr 22 20:24:14 PDT 2017,432000,Mon Apr 24 11:20:27 PDT 2017,3VDVA3ILID0VKTJ566TM7IV0UZBG1F,,Tue Apr 25 16:39:37 PDT 2017,{},,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Mon May 01 11:21:41 PDT 2017,"The Christian Science Monitor reserves the right to publish non-personally identifiable , summary information regarding its website and e-newsletter visitors for promotional purposes and as a representative audience for advertisers .","Please note that this is not personally identifiable information , only general summaries of the activities of our visitors and customers .",Such attempts may be punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act .,"In particular , when purchasing a subscription or signing up for an e-mail newsletter , you must provide certain contact information ( e.g. , your name , e-mail and shipping address , as applicable ) and you may be asked to provide financial information ( e.g. , credit card number , expiration date , billing address , etc . ) to be used for billing purposes and to fill customers ' orders .",The Christian Science Monitor may use such information to help determine ways to improve our Site .,Rejected,{},,3Y5140Z9DY1FKW6W7Y9HHAMYS9CIP6,74,389,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Mon May 08 20:54:28 PDT 2017,$0.05,,,41236,41241,41240,41239,604800,8,1,1,1,1,1,Mon Apr 24 11:21:41 PDT 2017,40858,"vague, ambiguous, privacy policy",{},{},"improve, determine",0% (0/0),0% (0/47),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,ARFAW0SGYEMFL,,Sat Apr 22 20:24:14 PDT 2017,432000,Sat Apr 29 08:16:35 PDT 2017,3J9UN9O9J3D546OOITAPQQ46HZN0J1,,,"some, such,",Mon May 01 20:54:40 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",3% (4/121),Sat May 06 08:21:19 PDT 2017,"The Christian Science Monitor supplies some of its subscriptions and content , such as the Digital Edition and the Historic Archive 1901 - 1980 , through third parties .","Generally , we do not provide , sell or lease personally identifiable information to any third parties .",We also allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site .,"These companies may use non-personally identifiable information ( e.g. , click stream information , browser type , time and date , subject of advertisements clicked or scrolled over ) collected during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you .",These companies typically use cookies or third party web beacons to collect this information .,Approved,generally,,34S9DKFK74A17B9OV1ISZ9BRIQZNY1,284,395,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Tue May 02 16:39:20 PDT 2017,$0.05,,,41243,41248,41245,41244,604800,8,1,2,2,1,2,Sat Apr 29 08:21:19 PDT 2017,41242,"vague, ambiguous, privacy policy",certain,"may, e.g.",{},0% (0/0),76% (384/502),395
BatchId:2776926;OriginalHitTemplateId:920937305;,(EASY TASK) Select vague words from sentences,A82OSQB7SGDD6,,Sat Apr 22 20:24:14 PDT 2017,432000,Mon Apr 24 17:00:48 PDT 2017,3J9UN9O9J3D546OOITAPQQ46HZN0J1,,,"some, third parties",Tue Apr 25 16:39:42 PDT 2017,"Your task is to read a sentence, select vague words from the sentence, and indicate how vague it is.",0% (0/0),Mon May 01 17:02:37 PDT 2017,"The Christian Science Monitor supplies some of its subscriptions and content , such as the Digital Edition and the Historic Archive 1901 - 1980 , through third parties .","Generally , we do not provide , sell or lease personally identifiable information to any third parties .",We also allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site .,"These companies may use non-personally identifiable information ( e.g. , click stream information , browser type , time and date , subject of advertisements clicked or scrolled over ) collected during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you .",These companies typically use cookies or third party web beacons to collect this information .,Approved,"generally, third parties",,3CFVK00FWM690RWXD57L3QN9E82L63,109,395,370L63GT3D60H5L6G0NFZL7USOZ18V,395,395,395,Tue May 02 16:39:20 PDT 2017,$0.05,,,41243,41248,41245,41244,604800,8,2,2,2,3,2,Mon Apr 24 17:02:37 PDT 2017,41242,"vague, ambiguous, privacy policy","third-party, anonymous",likely,"typically, third-party",0% (0/0),47% (9/19),395
