sentence1,sentenceid1,docid1,sentence2,sentenceid2,docid2,sentence3,sentenceid3,docid3,sentence4,sentenceid4,docid4,sentence5,sentenceid5,docid5
"Because we 're an internet company , some of the concepts below are a little technical , but we 've tried our best to explain things in a simple and clear way .",731,5,"When you sign up for or use our products , you voluntarily give us certain information .",736,5,"This can include your name , profile photo , pins , comments , likes , email address you used to sign up , and any other information you provide us .",737,5,"If you 're using Pinterest on your mobile device , you can also choose to provide us with location data .",738,5,"You also may give us permission to access your information in other services .",739,5
"For example , you may link your Facebook or Twitter account to Pinterest , which allows us to obtain information from those accounts ( e.g. , your friends or contacts ) .",740,5,"The information we obtain from those services often depends on your settings or their privacy policies , so be sure to check what those are .",741,5,"These days , whenever you use a website , mobile application , or other Internet service , there 's certain information that almost always gets created and recorded automatically .",743,5,"Here are some of the types of information we collect :",745,5,"This log data may include your Internet Protocol address , the address of the web pages you visited that had Pinterest features , browser type and settings , the date and time of your request , how you used Pinterest , and cookie data .",747,5
"Depending on how you 're accessing our products , we may use cookies ( a small text file sent by your computer each time you visit our website , unique to your Pinterest account or your browser ) , or similar technologies to record log data .",748,5,"When we use cookies , we may use session cookies ( that last until you close your browser ) or persistent cookies ( that last until you or your browser delete them ) .",749,5,"For example , we may use cookies to store your language preferences or other Pinterest settings so you dont have to set them up every time you visit Pinterest .",750,5,"Some of the cookies we use are associated with your Pinterest account ( including personal information about you , such as the email address you gave us ) , and other cookies are not .",751,5,"In addition to log data , we may also collect information about the device you 're using Pinterest on , including what type of device it is , what operating system you 're using , device settings , unique device identifiers , and crash data .",752,5
"Whether we collect some or all of this information often depends on what type of device you 're using and its settings .",753,5,"For example , different types of information are available depending on whether you 're using a Mac or a PC , or an iPhone or an Android phone .",754,5,"For example , we may log how often people use two different versions of a product , which can help us understand which version is better .",758,5,"Suggesting pins or boards you might like .",760,5,"For example , if you 've indicated that you 're interested in cooking or visited recipe websites that has Pinterest features , we may suggest food-related pins , boards , or people that we think you might like ;",761,5
"Showing you ads you might be interested in .",762,5,"Send you updates ( such as when certain activity , like repins or comments , happens on Pinterest ) , newsletters , marketing materials and other information that may be of interest to you .",765,5,"For example , depending on your email notification settings , we may send you weekly updates that include pins you may like .",766,5,"You can decide to stop getting these updates by updating your account settings ( or through other settings we may provide ) .",767,5,"For example , if you sign up using a Facebook account , we may help your Facebook friends find your account on Pinterest when they first sign up for Pinterest .",769,5
"Or , we may allow people to search for your account on Pinterest using your email address .",770,5,"The information we collect may be personally identifiable ( meaning it can be used to specifically identify you as a unique person ) or non-personally identifiable ( meaning it ca n't be used to specifically identify you ) .",772,5,"We may use or store information wherever Pinterest does business , including countries outside your own .",774,5,"If you have a Pinterest account , many of the choices you have on Pinterest are built directly in to the product or your account settings .",777,5,"For example , you can :",778,5
"Access and change information in your profile page at any time , choose whether your profile page is available to search engines , or choose whether others can find your Pinterest account using your email address ;",779,5,"For some services ( like Facebook ) , you can also choose whether or not to publish your activity on Pinterest to that service .",781,5,"Secret boards are visible to you and other participants in the board , and any participant may choose to make the contents of the board available to anyone else .",783,5,"For example , another participant may invite someone else to the board , make the board available to an app they use to view Pinterest , or even just take an image from the board and email it to their friends .",784,5,"If you have a Pinterest account and do n't want your off-Pinterest data to be used to tailor your experience , you can visit your account settings and update your Personalization preferences .",787,5
"If you do n't have a Pinterest account , or do n't want us to customize Pinterest for you when you 're signed out , you can opt out here .",788,5,"Also , we support the Do Not Track browser setting , and you can learn more about how it affects our collection and use of off-Pinterest data .",789,5,"We may retain archived copies of your information as required by law or for legitimate business purposes ( including to help address fraud and spam ) .",792,5,"In addition to the examples above , we offer other choices that you can learn more about in our Help Center .",793,5,"You may have choices available to you through the device or software you use to access Pinterest .",794,5
"The browser you use may provide you with the ability to control cookies or other types of local data storage ;",795,5,"Your mobile device may provide you with choices around how and whether location or other data is shared with us .",796,5,"Pinterest is a tool people use to find their inspirations , make them a reality , and inspire others in the process .",799,5,"When you create public boards and pins , anyone can view them .",800,5,"You may also provide us with profile page information that that anyone can view .",801,5
"The other limited instances where we may share your personal information include :",802,5,"For example , you can choose to publish your pins to Facebook or Twitter .",805,5,"We may employ third party companies or individuals to process personal information on our behalf based on our instructions and in compliance with this Privacy Policy .",806,5,"For example , we may share data with a security consultant to help us get better at identifying spam or with our accountants to make sure we 're keeping the books right .",807,5,"In addition , some of the information we request may be collected by third party providers on our behalf .",808,5
"If we believe that disclosure is reasonably necessary to comply with a law , regulation or legal request ; to protect the safety , rights , or property of the public , any person , or Pinterest ; or to detect , prevent , or otherwise address fraud , security or technical issues .",810,5,"We may engage in a merger , acquisition , bankruptcy , dissolution , reorganization , or similar transaction or proceeding that involves the transfer of the information described in this Policy .",811,5,"We may also share aggregated or non-personally identifiable information with our partners or others .",812,5,"For example , we may tell a business using Pinterest how many people repinned something they shared , or the percentage of people who click a on pin after viewing it .",813,5,"We may change this policy from time to time , and if we do we 'll post any changes on this page .",818,5
"If the changes are significant , we may provide more prominent notice or obtain your consent as required by law .",820,5,"Personal information may include your name , email , mailing and/or business address , phone numbers , or other information that identifies you personally .",901,7,"Security features and service provider controls",906,7,"How you can access your personal information",907,7,"We use information we collect to provide you certain products and services , and if needed to respond to your inquiries or requests for information .",918,7
"Providing the information is voluntary , but if not provided , we may not process your transaction .",930,7,"We do not disclose your information to third parties without your consent , except to facilitate the transaction , to act on your behalf or request , or as legally required .",931,7,"This includes the following limited circumstances : to a congressional office on your behalf ; to financial entities regarding financial transaction issues ; to a USPS auditor ; to entities , including law enforcement , as required by law or in legal proceedings ; to domestic and international customs relating to outgoing international mail pursuant to federal law and agreements ; and to contractors and other entities aiding us to fulfill the service ( service providers ) .",932,7,"Many of our programs and websites allow you to send us an email .",936,7,"Remember that email may not necessarily be secure against interception .",938,7
"We automatically collect certain information about your visit to usps.com .",941,7,"We thus may know what path ( s ) you took on usps.com , but we do n't know who you are .",943,7,"General log informationInternet domain ( for example , `` xcompany.com '' or `` yourschool.edu '' ) ; Internet Protocol ( IP ) address ; operating system ; the browser used to access our Web site ; the date and time you access our site ; and the pages that you visited .",946,7,"We use it to learn about how locations on our site are being used , what information is of most and least interest , and to ensure usps.com can interface with the types of technology our visitors use .",948,7,"We also use the information to tell us of any possible site performance problems .",949,7
"Such data may include aggregate data such as the number of click-throughs that occurred .",951,7,"It may also include specific data , such as whether you are a repeat visitor ; whether you visited a page with a banner on it or clicked on an ad banner and then used our site ( for instance , to register or make a purchase ) ; the value , date and time of any sale ; and the identity of the site which you linked to or from usps.com .",952,7,"For example , this allows us to determine which ads may be of most interest and to help us control how many times a specific ad is displayed .",954,7,"We understand that you may have questions about Web technology and information that is collected as you surf or conduct business online .",956,7,"The types of Web analysis tools we use are fully explained below , and in the attached letter from the Postmaster General .",960,7
"Read the Postmaster General 's letter on Cookie Usage .",961,7,"Postmaster General 's Letter on Cookie Usage PDF | HTM",962,7,"Cookies may be categorized as session or persistent , which describes the length of time that they stay on your system .",963,7,"Session cookies may also be used to collect referral statistics when you click on a link or ad banner to or from usps.com .",973,7,"Site usage measurementOur site measurement tool uses a persistent cookie to assist us in measuring how and when our Web site and its various components are used .",977,7
"It functions as a visit cookie , so that we can determine if you are a repeat visitor to our site .",978,7,"This allows us to know if we are attracting new visitors and what aspects of the site seem most useful .",979,7,"This is done for your safety to ensure that , if you have finished using our site , but have forgotten to log off , no one else can use your computer via your log-on and password .",982,7,"Opt-in cookiesPersistent cookies allow us , at your request , to recognize you when you return to usps.com , or to remember certain information that you have provided us .",984,7,"This allows us to personalize the site for you and tailor the content to your needs , for instance to show you other products you may be interested in .",987,7
"Other cookies allow us to remember certain information related to prior transactions , such as package tracking numbers , or mailing or address lists , so that we may prepopulate those fields for you on return visits .",988,7,"Ad banner cookiesOn behalf of the USPS , persistent cookies and beacons ( described below ) may be set and managed by third party advertising suppliers to support ad banners .",992,7,"A Web beacon , also referred to as a clear gif or page tag , consists of code on the USPS site that delivers a small graphic image from another Web site or third party server .",994,7,"They may not be visible as the beacon is generally a 1x1 pixel that is often designed to blend into the background of a Web page .",995,7,"We use beacons , often in conjunction with cookies , to monitor the effectiveness of ad banners ; and to gather general log , statistical , and referral information .",996,7
"We thus use beacons to understand certain actions that you took ( such as a purchase ) , but not to know who you are .",998,7,"Third Party Web Analysis Tools",999,7,"The Postal Service does not allow Web analysis tools to be used by third parties , except for service providers who help us in performing site analysis or providing a particular product , service , or advertisement .",1000,7,"Service providers may use session cookies , just like the USPS does , solely to improve the use of the site .",1001,7,"Service providers may only use persistent cookies and beacons if specifically approved by the USPS , which uses must comply fully with this policy .",1002,7
"Data derived from other persistent cookies and beacons are retained behind the USPS firewall or a secure firewall of our service provider .",1006,7,"If you still have concerns about cookies , you may choose to opt out of their use .",1008,7,"Ad banner cookies You can opt out of ad banner cookies , without erasing or altering other cookies .",1009,7,"By clicking below , you will be taken to a third party site that explains how to opt out .",1011,7,"Opting out of all cookies You may choose to opt out of the use of all cookies .",1013,7
"You will still be able to access most features of usps.com .",1014,7,"However , certain features may not work as well or may be unavailable to you .",1015,7,"We assume you are interested in other products and services that could aid you in your business , and so we will provide information to you unless you tell us you do not want to receive it .",1024,7,"Consumers may opt-in , and businesses may opt-out , when they register on usps.com and create a customer profile .",1025,7,"These preferences in the profile can be changed at any time .",1026,7
"Your browser may also display a lock symbol on its bottom task bar line to indicate this secure transmission is in place .",1030,7,"Unauthorized modification or misuse of information stored in this system will be investigated and may result in criminal prosecution .",1033,7,"The Postal Service enters into relationships with service providers in order to provide the highest quality product or service .",1034,7,"Service providers may include an entity that provides assistance for the program , such as a call center ; a provider of advertising services ; or a partner for the program .",1035,7,"The USPS holds service providers to the same rigorous standards of privacy that apply to the USPS , including being made subject to the Privacy Act and USPS privacy policies .",1036,7
"Service providers that have access to personal information are also subject to security review .",1037,7,"If you have provided personal information to us , you may request to review the information that we have maintained .",1038,7,"We would like to hear from you if you have any questions or complaints regarding our privacy policy or use of your information .",1041,7,"From time to time as part of a special Postal Service promotion , such as stamp collecting , we may request information from children under 13 years of age .",1045,7,"We will take all necessary steps to protect the privacy and safety of any child participating , in accordance with the Children 's Online Privacy Protection Act ( COPPA ) .",1047,7
"We will post a notice that we are requesting information from children including the type of information , how we will use it , whether it will be forwarded to a third party , and a contact at our Web site for questions .",1049,7,"We will not condition a child 's participation in an event on the provision of more information than is absolutely necessary for that promotion .",1051,7,"An example of such a promotion could be a stamp-collecting program that might be of interest to children .",1052,7,"We will use reasonable effort to obtain verifiable parental consent prior to the collection and use of personally identifiable information from children under 13 .",1054,7,"The method of parental consent verification may vary according to the event in which the child wishes to participate .",1055,7
"Means of obtaining such consent may include , but are not limited to , offline consent such as printing and submitting a permission form by mail or fax , or online consent that contains a verifiable unique identifier such as a credit card .",1056,7,"Parents may revoke their consent and delete information collected from their children at their discretion .",1058,7,"The Postal Service will then stop collecting , using , or disclosing information from that child , and will end that child 's participation in that event if such information is necessary to continue .",1059,7,"The U.S . Postal Service will provide a prominent notice to children describing in age appropriate terms what personally identifiable information will be collected , and explain the need for those children to obtain parental consent before sharing their information .",1066,7,"The system for providing the job listing/resume database and the on-campus recruiting service uses cookies and may collect system information such as IP address and browser version .",4045,43
"Students/Alumni You may change or correct your personal information at any time .",4056,43,"Employers You may change or correct your organization and/or contact information at any time .",4058,43,"Linking to third party sites",4750,50,"Wizards of the Coast web sites bring you the coolest information about the world of hobby gaming Wizards of the Coast web sites bring you the latest about the world of hobby gaming , a place to meet and play with other gamers like you , and discover some of the best independent and strategy games available .",4759,50,"Whenever you visit a web site that displays the ESRB Privacy Online certification seal , you can expect to be notified of :",4766,50
"Exactly what personal information may be collected ;",4767,50,"Who , if anyone , is collecting your personal information ;",4769,50,"How this information may be used , including , with whom , if anyone , it might be shared ;",4770,50,"How you can access and , if necessary , change the personal information a company collects and maintains ;",4774,50,"For complaints , you can also contact ESRB Privacy Online directly through their consumer hotline , or by regular mail at 317 Madison Avenue , 22nd Floor , New York , NY 10017 .",4785,50
"Wizards wants to give you the most exciting Internet experience possible .",4791,50,"To help us figure out what you like and do n't like about our sites , we may ask for your opinion from time to time .",4792,50,"Wizards may request and/or collect information from you on a voluntary basis when you :",4793,50,"*While Wizards may collect credit card data from its customers from time to time , it will also use third party credit card processing companies to process your payment transactions .",4802,50,"When it is using such a third party processing company , Wizards will not have access to your credit card data .",4803,50
"The requested information may include personal information such as your name , e-mail address , telephone number , and home address .",4804,50,"In addition , we may request demographic information such as your age , the gender and birth dates of children in your household , and toy and game ownership and preferences .",4805,50,"If you are under the age of 13 , some features of the Sites may be unavailable to you .",4806,50,"For others , you will need your parent or guardian 's consent before you can provide any personal information to us for purposes of registration and other online activities .",4807,50,"In this section , you may also change Your Profile information , who can view your page and activity , and who can contact you on the Site , as well as control how we communicate with you .",4815,50
"You can change this by selecting Exclude me from search results in Privacy Settings .",4817,50,"Please note that information , user content or any other materials that you post on our Sites , including any information from Your Profile that you choose to make public , will be available for any user of that service to read , and are therefore no longer private and may be disclosed without limitations as to use by a third party .",4824,50,"If you post information , materials or other content on the Sites or other public forum , you are providing information that can be collected and used by others that you do not know for their own purposes , including the distribution of unsolicited communications .",4825,50,"To participate in some of our promotions , you may be asked to provide an e-mail address or screen name , so that we can let you know if you won a prize .",4827,50,"For other Wizards promotions , we may request your name and home address in order to send you products or information by regular mail .",4828,50
"Although we may retain your name , e-mail address , and other information you provide , we will not use any personal information contained in your e-mail for any purpose other than responding to your specific inquiry or comments .",4831,50,"Participants must provide certain identifiable information to be eligible to participate in these events .",4834,50,"However , we can assure you that such information will be used solely for the purpose of accepting and evaluating candidate submissions for job postings .",4837,50,"In order to improve the user experience at our Site , we may employ online surveys for visitors to volunteer anonymous demographic information about themselves and provide us feedback about why they visit our Sites and what we can do to make them better .",4838,50,"Information collected through these surveys is anonymous ; we can not identify who is submitting the information or tie it to other personally identifiable information a user may have provided us through another means .",4839,50
"Whatever the activity may be , we will only collect information to the extent it is reasonably necessary to fulfill your requests and our legitimate business objectives .",4840,50,"If you do not want to submit personal information when requested , you will not be able to access certain areas on our Sites or take advantage of certain features of our Sites .",4841,50,"We may use the information you submit to our Sites to send you advertising or promotional materials , including information about new products , contests , features and enhancements , special offers and other events of interest .",4845,50,"We may also use your personal information for our internal marketing and demographic studies , so we can constantly improve the products and services we provide you and can better meet your needs .",4846,50,"The demographic information ( e.g. , age and gender ) you provide us is collected by Wizards and may be disclosed in aggregate to third parties .",4847,50
